name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;340;0;545;3041;1061;3041;1084;0
header;212;124;212;157;1834;157;1834;124
A;1016;191;1016;220;1035;220;1035;191
A;585;330;585;349;599;349;599;330
B;910;378;910;396;925;396;925;378
B;983;608;983;627;998;627;998;608
B;1015;873;1015;899;1034;899;1034;873
B;467;1202;467;1220;480;1220;480;1202
C;1017;1339;1017;1366;1037;1366;1037;1339
D;1029;2027;1029;2054;1049;2054;1049;2027
A;814;2491;814;2517;830;2517;830;2491
B;798;2561;798;2588;806;2588;806;2561
